#       time         integral Re         integral Im         integral Re         integral Im
#       r =            16.000000           16.000000           32.000000           32.000000
   5.5000000   -5.0685982555e-04   -5.1983401430e-20   -5.6367599906e-04    7.0645567437e-20
   5.6000000   -4.8700439937e-04   -1.4605666236e-20   -6.3878392662e-04    1.0279249411e-19
   5.7000000   -4.7241653778e-04   -3.4367774788e-20   -7.3273768535e-04   -2.8121330978e-20
   5.8000000   -4.6171397877e-04   -5.5827497818e-20   -8.4199547027e-04   -2.0173702376e-20
   5.9000000   -4.5368278102e-04   -1.2930316745e-19   -9.6255598558e-04    2.8853298975e-20
   6.0000000   -4.4731401464e-04   -1.3992421596e-20   -1.0900069470e-03    6.8866381424e-20
   6.1000000   -4.4182448167e-04   -1.8412192733e-20   -1.2195801027e-03    9.2012576515e-21
   6.2000000   -4.3666175961e-04   -8.9007253342e-20   -1.3463408682e-03    7.1627650529e-20
   6.3000000   -4.3149561180e-04   -9.0942701472e-20   -1.4652147778e-03    4.5545617522e-20
   6.4000000   -4.2619823328e-04   -5.1593322718e-20   -1.5710894143e-03    8.9411284842e-20
   6.5000000   -4.2081562079e-04   -3.5905099967e-20   -1.6589413410e-03    1.2652799654e-19
   6.6000000   -4.1553279583e-04   -5.5850013020e-20   -1.7239067424e-03   -2.4056216528e-20
   6.7000000   -4.1063598431e-04   -6.5438048018e-20   -1.7613845260e-03   -2.1614715893e-20
   6.8000000   -4.0647382326e-04   -5.8562582910e-20   -1.7672769152e-03   -2.5237664589e-20
   6.9000000   -4.0341946267e-04   -3.8263537411e-20   -1.7381532642e-03    8.7182095260e-21
   7.0000000   -4.0183707869e-04   -3.0154161896e-20   -1.6714527197e-03   -8.7410890838e-20
   7.1000000   -4.0205256119e-04   -3.8962648671e-20   -1.5656379584e-03   -3.0023397098e-21
   7.2000000   -4.0432925563e-04   -3.5703442941e-20   -1.4203505511e-03    6.5729817356e-20
   7.3000000   -4.0885141196e-04   -4.4965783497e-20   -1.2364834173e-03    5.6361948418e-20
   7.4000000   -4.1571333398e-04   -5.0362202967e-20   -1.0160860676e-03    8.6793022635e-20
   7.5000000   -4.2491400108e-04   -1.4331914425e-20   -7.6265348075e-04   -1.1379706261e-19
   7.6000000   -4.3635763059e-04   -2.8134058993e-20   -4.8103412683e-04    6.0987103252e-20
   7.7000000   -4.4985891196e-04   -6.5634249050e-20   -1.7724350386e-04    4.4159613147e-20
   7.8000000   -4.6515220893e-04   -6.2505340021e-20    1.4173811135e-04   -8.1398217545e-20
   7.9000000   -4.8190386026e-04   -6.4995693602e-20    4.6824271456e-04    6.6300443988e-20
   8.0000000   -4.9972631629e-04   -4.6401964413e-20    7.9434353707e-04    6.0756675522e-20
   8.1000000   -5.1819311579e-04   -2.6053919633e-20    1.1122393049e-03    9.2201638476e-20
   8.2000000   -5.3685465357e-04   -7.0919356050e-20    1.4146073792e-03    9.3881848862e-20
   8.3000000   -5.5525402361e-04   -4.5148450646e-20    1.6948836550e-03    6.8354338056e-21
   8.4000000   -5.7294073977e-04   -1.0504149171e-19    1.9474693152e-03    1.1488219118e-19
   8.5000000   -5.8948451285e-04   -6.8700347668e-20    2.1680683575e-03    3.5023772446e-21
   8.6000000   -6.0448714759e-04   -1.0948697249e-20    2.3537549412e-03    2.6177113329e-19
   8.7000000   -6.1759061950e-04   -2.8204886759e-20    2.5029805463e-03   -5.4698412884e-20
   8.8000000   -6.2848539988e-04   -7.4160111999e-20    2.6155281911e-03    4.9936798588e-20
   8.9000000   -6.3691608521e-04   -2.7955937434e-20    2.6923875505e-03    6.9338285582e-20
   9.0000000   -6.4268382237e-04   -4.6813548786e-20    2.7355316569e-03    7.4425037933e-20
   9.1000000   -6.4564818502e-04   -7.9178096537e-20    2.7476819930e-03    4.0530925633e-20
   9.2000000   -6.4572656509e-04   -8.3234143799e-20    2.7320548385e-03    3.1548578466e-20
   9.3000000   -6.4289171058e-04    8.2218978408e-21    2.6921023153e-03    8.6740573136e-20
   9.4000000   -6.3716695469e-04   -7.2056788031e-20    2.6312770460e-03    1.3770034997e-20
   9.5000000   -6.2861965212e-04    1.7439196178e-20    2.5528224128e-03    1.3275735573e-19
   9.6000000   -6.1735440054e-04   -5.3683449937e-20    2.4596027666e-03    1.1009314835e-19
   9.7000000   -6.0350747681e-04   -7.4841869621e-20    2.3540236849e-03    4.9048481909e-20
   9.8000000   -5.8723971719e-04   -1.0342254719e-19    2.2379637494e-03   -1.0464002310e-21
   9.9000000   -5.6872943612e-04   -4.4708887363e-20    2.1127935301e-03    1.9409357313e-19
  10.0000000   -5.4816495408e-04   -8.8147066433e-20    1.9794299510e-03    3.9700111134e-20
  10.1000000   -5.2574303549e-04   -7.5573291267e-20    1.8384267498e-03    4.3569713098e-20
  10.2000000   -5.0166437986e-04   -4.9251290207e-20    1.6900661199e-03    1.4207506923e-19
  10.3000000   -4.7613394698e-04   -9.5792647724e-20    1.5344962688e-03    4.4251048458e-20
  10.4000000   -4.4936256794e-04   -6.3603812161e-20    1.3718700097e-03    9.6462971081e-20
  10.5000000   -4.2156905677e-04   -1.1090119673e-19    1.2024944719e-03   -2.3976858953e-20
  10.6000000   -3.9298339259e-04   -1.3682603512e-20    1.0269361271e-03    1.0321357526e-20
  10.7000000   -3.6385053566e-04   -5.7226390820e-20    8.4611171266e-04   -7.1806352148e-20
  10.8000000   -3.3443172502e-04   -8.5969776704e-20    6.6135557486e-04    1.4696802951e-19
  10.9000000   -3.0500552276e-04   -7.0506669814e-20    4.7446229167e-04    9.1881970740e-20
  11.0000000   -2.7586529028e-04   -1.0061551412e-19    2.8769224435e-04    8.7645634192e-20
  11.1000000   -2.4731737896e-04   -4.4594454235e-20    1.0375427671e-04    1.4523803968e-19
  11.2000000   -2.1967563506e-04   -1.1239335453e-19   -7.4248941609e-05    6.3589082428e-20
  11.3000000   -1.9325562814e-04   -1.1371130047e-19   -2.4291958136e-04    3.1800912953e-19
  11.4000000   -1.6836408703e-04   -8.9942462919e-20   -3.9866474143e-04   -9.7653551203e-20
  11.5000000   -1.4528857519e-04   -1.2427834346e-19   -5.3783448694e-04    1.1393408637e-19
  11.6000000   -1.2428862881e-04   -2.8416280849e-20   -6.5686904171e-04    3.9058210060e-20
  11.7000000   -1.0558525822e-04   -7.7892469658e-20   -7.5246553369e-04    9.9867119994e-20
  11.8000000   -8.9353336721e-05   -9.0974087863e-20   -8.2175395441e-04    6.1468592625e-20
  11.9000000   -7.5716604597e-05   -1.1900097997e-19   -8.6244828079e-04    5.2869400695e-21
  12.0000000   -6.4744938313e-05   -8.0819681242e-20   -8.7299073045e-04    8.3435165938e-20
  12.1000000   -5.6453122575e-05   -9.1495441323e-20   -8.5267846558e-04    7.4064552789e-20
  12.2000000   -5.0804951027e-05   -2.5014715974e-20   -8.0175406069e-04    3.7581968155e-20
  12.3000000   -4.7720655697e-05   -1.3051807950e-19   -7.2145923511e-04    8.5851964431e-21
  12.4000000   -4.7085731165e-05   -4.6416717590e-20   -6.1405239684e-04    1.0740309494e-19
  12.5000000   -4.8763401277e-05   -1.4710002711e-19   -4.8276086832e-04   -4.8933427255e-20
  12.6000000   -5.2606782938e-05   -9.6266302301e-20   -3.3168890227e-04    1.2302621308e-19
  12.7000000   -5.8471538279e-05   -5.4314674570e-20   -1.6568023335e-04   -5.4615380732e-20
  12.8000000   -6.6227523180e-05   -6.3601185677e-20    9.8612079328e-06    5.3935343311e-20
